S.No.,Bridge Number,Bridge Name,Road Name,District,River/Stream,Chainage(Km),Length(m),Width(m),Span No,Foundation Type,Loading Capacity,Maintenance Division,Region,Completion Year,Cordinate,Bridge Type,Bridge Condition,Total Score,Load Restriction,Construction Status,Span Length(m),Data Updated Year
1,04-H001-004,Ninda Khola,Mahendra Rajmarga,Jhapa,Ninda ,5.46,318.6,RW-7.9 | CW-7,12,RCC Foundation,IRC class A/AA,Damak,Eastern,4,26.6602 | 88.1072,RCC T-Beam,5,3.6,0,Completed,26.55,2017
2,04-H001-003,Pali,Mahendra Rajmarga,Jhapa,Pali Khola,3.44,49.6,RW-7.8 | CW-7,3,Well Foundation,IRC class A/AA,Damak,Eastern,3,26.6505 | 88.1368,RCC T-Beam,7,3.1,0,Completed,16.5,2017
3,04-H001-028,Jhiljile,Mahendra Rajmarga,Jhapa,Jhiljhile,36.64,5.75,RW-10.6 | CW-9.8,1,Natural Rock,IRC class A/AA,Damak,Eastern,28,26.6433 | 87.8071,RCC Slab,7,3.1,0,Completed,5.75,2017
4,04-H001-001,Mechi,Mahendra Rajmarga,Jhapa,Mechi,0,583,RW-7.86 | CW-7,20,RCC Foundation,IRC class A/AA,Damak,Eastern,1,26.6440 | 88.1638,RCC T-Beam,6,2.7,0,Completed,29.15,2017
5,04-H001-031,Chyangri,Mahendra Rajmarga,Jhapa,Chyangri,42.25,6.7,RW-10.6 | CW-9.7,1,Natural Rock,,Damak,Eastern,31,26.6494 | 87.7619,RCC Slab,7,3.6,0,Completed,6.7,2017
6,04-H001-027,Satasi,Mahendra Rajmarga,Jhapa,Satasi,36.03,34.95,RW-7.8 | CW-7,4,RCC Foundation,,Damak,Eastern,27,26.6457 | 87.8152,RCC Slab,7,3.1,0,Completed,8.7,2017
7,04-H001-030,Kerakha,Mahendra Rajmarga,Jhapa,Kerakha,41.95,50,RW-7.8 | CW-7,3,RCC Foundation,IRC class A/AA,Damak,Eastern,30,26.6487 | 87.7653,RCC T-Beam,6,3.1,0,Completed,16.5,2017
8,04-H001-013,Aaduwa,Mahendra Rajmarga,Jhapa,Aduwa Khola,17.72,35,RW-7.9 | CW-7,4,RCC Foundation,IRC class A/AA,Damak,Eastern,13,26.6425 | 87.9897,RCC Slab,7,3.1,0,Completed,8.8,2017
9,04-H001-038,Mawa,Mahendra Rajmarga,Jhapa,Mawa,54.75,128.47,RW-7.9 | CW-7,6,RCC Foundation,IRC class A/AA,Damak,Eastern,38,26.6637 | 87.6426,RCC T-Beam,5,3.1,0,Completed,21.4,2017
10,04-H001-037,Bhutre,Mahendra Rajmarga,Jhapa,Bhutre,54,6.67,RW-10.4 | CW-9.7,1,Natural Rock,IRC class A/AA,Damak,Eastern,37,26.6632 | 87.6496,RCC Slab,6,3.6,0,Completed,6.67,2017
11,04-H001-017,Kankai,Mahendra Rajmarga,Jhapa,Kankai,29.85,702,RW-7.8 | CW-7,24,RCC Foundation,IRC class A/AA,Damak,Eastern,17,26.6553 | 87.8759,RCC T-Beam,7,3.1,0,Completed,29.25,2017
12,04-H001-015,Biring,Mahendra Rajmarga,Jhapa,Biring,23.4,399.2,RW-7.8 | CW-7,15,RCC Foundation,IRC class A/AA,Damak,Eastern,15,26.6404 | 87.9362,RCC T-Beam,6,3.1,0,Completed,26.55,2017
13,04-H001-024,Jharana-2,Mahendra Rajmarga,Jhapa,Jharna-2,34.63,33,RW-7.9 | CW-7,2,RCC Foundation,IRC class A/AA,Damak,Eastern,24,26.6492 | 87.8304,RCC T-Beam,6,1.8,0,Completed,16.5,2017
14,04-H001-023,Jharana-1,Mahendra Rajmarga,Jhapa,Jharana - 01,34.25,33,RW-7.9 | CW-7,2,RCC Foundation,IRC class A/AA,Damak,Eastern,23,26.6499 | 87.8341,RCC T-Beam,6,3.1,0,Completed,16.5,2017
